dhs,code,abbrev,name,state_pop_name
7,1,AN,Andaman and Nicobar Islands,Andaman & Nicobar Islands
4,2,AP,Andhra Pradesh,Andhra Pradesh
5,28,AP,Andhra Pradesh,Andhra Pradesh
7,2,AP,Andhra Pradesh,Andhra Pradesh
4,34,AR,ArunachalPradesh,Arunachal Pradesh
5,12,AR,Arunachal Pradesh,Arunachal Pradesh
7,3,AR,Arunachal Pradesh,Arunachal Pradesh
4,3,AS,Assam,Assam
5,18,AS,Assam,Assam
7,4,AS,Assam,Assam
4,4,BH,Bihar,Bihar
5,10,BH,Bihar,Bihar
7,5,BH,Bihar,Bihar
7,6,CH,Chandigarh,Chandigarh
5,22,CG,Chhattisgarh,Chhattisgarh
7,7,CG,Chhattisgarh,Chhattisgarh
7,9,DD,Daman and Diu,Daman & Diu
4,30,DL,New Delhi,Delhi
5,7,DL,Delhi,Delhi
7,25,DL,Delhi,Delhi
7,8,DN,Dadra and Nagar Haveli,Dadra & Nagar Haveli
4,6,GJ,Gujarat,Gujarat
5,24,GJ,Gujarat,Gujarat
7,11,GJ,Gujarat,Gujarat
4,5,GO,Goa,Goa
5,30,GO,Goa,Goa
7,10,GO,Goa,Goa
4,8,HP,Himachal Pradesh,Himachal Pradesh
5,2,HP,Himachal Pradesh,Himachal Pradesh
7,13,HP,Himachal Pradesh,Himachal Pradesh
4,7,HR,Haryana,Haryana
5,6,HR,Haryana,Haryana
7,12,HR,Haryana,Haryana
4,0,IA,India,India
5,0,IA,India,India
7,0,IA,India,India
5,20,JH,Jharkhand,Jharkhand
7,15,JH,Jharkhand,Jharkhand
4,9,JM,Jammu,Jammu & Kashmir
5,1,JM,Jammu and Kashmir,Jammu & Kashmir
7,14,JM,Jammu and Kashmir,Jammu & Kashmir
4,10,KA,Karnataka,Karnataka
5,29,KA,Karnataka,Karnataka
7,16,KA,Karnataka,Karnataka
4,11,KE,Kerala,Kerala
5,32,KE,Kerala,Kerala
7,17,KE,Kerala,Kerala
7,18,LK,Lakshadweep,Lakshadweep
4,15,MG,Meghalaya,Meghalaya
5,17,MG,Meghalaya,Meghalaya
7,22,MG,Meghalaya,Meghalaya
4,13,MH,Maharashtra,Maharashtra
5,27,MH,Maharashtra,Maharashtra
7,20,MH,Maharashtra,Maharashtra
4,14,MN,Manipur,Manipur
5,14,MN,Manipur,Manipur
7,21,MN,Manipur,Manipur
4,12,MP,Madhya Pradesh,Madhya Pradesh
5,23,MP,Madhya Pradesh,Madhya Pradesh
7,19,MP,Madhya Pradesh,Madhya Pradesh
4,16,MZ,Mizoram,Mizoram
5,15,MZ,Mizoram,Mizoram
7,23,MZ,Mizoram,Mizoram
4,17,NL,Nagaland,Nagaland
5,13,NL,Nagaland,Nagaland
7,24,NL,Nagaland,Nagaland
7,26,OR,Odisha,Odisha
4,18,OR,Orissa,Odisha
5,21,OR,Orissa,Odisha
7,27,PD,Puducherry,Puducherry
4,19,PJ,Punjab,Punjab
5,3,PJ,Punjab,Punjab
7,28,PJ,Punjab,Punjab
4,20,RJ,Rajasthan,Rajasthan
5,8,RJ,Rajasthan,Rajasthan
7,29,RJ,Rajasthan,Rajasthan
4,21,SK,Sikkim,Sikkim
5,11,SK,Sikkim,Sikkim
7,30,SK,Sikkim,Sikkim
7,36,TL,Telangana,Telangana
4,22,TN,Tamil Nadu,Tamil Nadu
5,33,TN,Tamil Nadu,Tamil Nadu
7,31,TN,Tamil Nadu,Tamil Nadu
4,35,TR,Tripura,Tripura
5,16,TR,Tripura,Tripura
7,32,TR,Tripura,Tripura
5,5,UC,Uttaranchal,Uttarakhand
7,34,UC,Uttarakhand,Uttarakhand
4,24,UP,Uttar Pradesh,Uttar Pradesh
5,9,UP,Uttar Pradesh,Uttar Pradesh
7,33,UP,Uttar Pradesh,Uttar Pradesh
4,23,WB,West Bengal,West Bengal
5,19,WB,West Bengal,West Bengal
7,35,WB,West Bengal,West Bengal
